ahapery 我等了你們
tsiksi 你離開了
puru 我將睡覺
puru 他將睡覺
tsimywak 你將狩獵
tsikmoronaha 我們洗了澡
tsimymoro 你將洗澡
myzomo 我將到達
myzomo 他將到達
piboro 我將咬它
piboro 他將咬它
nimoro 他洗了澡
tsipaperynaha 我們將等你
nimypery 他等了我們
tsipikharapyryk 你將抱我
nisiboro 他咬了他們
tsipurunaha 我們將睡覺
iknaraha 我落下了
piksi 我將離開
piksi 他將離開
zahaboro 他咬了你們
mywak 我將狩獵
mywak 他將狩獵
tsibeze 你殺了它
zuru 他睡覺了
tsikzomo 你到達了
piwy 我將剁它
piwy 他將剁它
pikbeze 他將殺我
tsimykarinaha 我們將跳舞
--------Question A--------
aharapyryk 我抱了你
mymyboro 他將咬我們
uru 我睡覺了
tsiksiwynaha 我們剁了他們
ikwak 我狩獵了
ziksi 他離開了
--------Question B--------
我們將落下 tsimynarahanaha
我洗了澡 ikmoro
你咬了我們 tsikmyboro
我將等他們 mysipery
他將等他們 mysipery
我將抱你們 pahaharapyryk
他將抱你們 pahaharapyryk
你將離開 tsipiksi
我殺了它 ibeze
